ID pvalue
GO:0050920 5.64641116563382e-05
GO:0006413 5.65822572830423e-05
GO:0005976 5.68956131213944e-05
GO:0061448 5.74342757144078e-05
GO:0030010 5.78869616845439e-05
GO:0048630 5.79297311377014e-05
GO:0030168 5.82557916570287e-05
GO:0051347 5.90153577963585e-05
GO:0072012 6.2543980612919e-05
GO:0060840 6.28402354703552e-05
GO:0009880 6.2849072229307e-05
GO:0014819 6.47433997419711e-05
GO:0036294 6.55807360475467e-05
GO:1903052 6.72906249568288e-05
GO:0033674 6.76058603800819e-05
GO:0031400 6.76823403260789e-05
GO:0045732 6.78241918871233e-05
GO:2000060 6.8094397543055e-05
GO:0002026 6.87256664111649e-05
GO:0010882 6.87256664111649e-05
GO:0060740 6.87256664111649e-05
GO:2001234 7.07573447395753e-05
GO:0009185 7.62756199821993e-05
GO:0034504 7.63743386169941e-05
GO:0051153 7.67661559217524e-05
GO:0005977 7.79135365024904e-05
GO:0009952 7.80609331520201e-05
GO:0006195 7.82991378781007e-05
GO:0035282 8.12305693006511e-05
GO:0090287 8.18741800076263e-05
GO:0005996 8.26099589889926e-05
GO:0022613 8.31823015829488e-05
GO:0046034 8.73719178631153e-05
GO:0048844 8.76687716054334e-05
GO:0010742 8.80666517894257e-05
GO:0099622 8.80666517894257e-05
GO:0002931 8.94288133185229e-05
GO:0141091 9.05260899151348e-05
GO:0043542 9.05638384460607e-05
GO:0009132 9.05950233554956e-05
GO:0010765 9.13878947179078e-05
GO:1901203 9.35369368057481e-05
GO:0002027 9.65907716884209e-05
GO:0007411 9.79274937940977e-05
GO:0097485 9.79274937940977e-05
GO:0043534 0.00010124323563883
GO:0072073 0.000102403007807976
GO:0006007 0.000103935329968121
GO:0071453 0.000104915950012736
GO:0090130 0.000105846244730196
GO:0009150 0.000107526121226025
GO:0030099 0.000107748250671097
GO:0045444 0.000107816866373323
GO:0001558 0.000107846847804734
GO:0003184 0.000110436069305716
GO:0003177 0.000111910545590378
GO:0050673 0.000113034240598847
GO:0050878 0.000113191800372988
GO:0003018 0.000113589735272405
GO:0055117 0.000117956864996307
GO:0090077 0.000119645081007628
GO:0009261 0.000121159404390477
GO:0097084 0.000125149330756143
GO:0005978 0.000125262281265089
GO:0009250 0.000125262281265089
GO:0061383 0.000125262281265089
GO:0051496 0.00012632277908324
GO:1903053 0.000129061993071894
GO:0008593 0.000130461804288993
GO:0048661 0.000130461804288993
GO:0061437 0.000130962962441975
GO:0061440 0.000130962962441975
GO:0071456 0.000134152836638359
GO:0006364 0.00013558022989777
GO:0045860 0.000137509529383269
GO:0062013 0.000139394547654128
GO:0051283 0.000141974246782229
GO:0098727 0.000145556633239975
GO:0003230 0.000149772077156347
GO:0043010 0.000152170612868967
GO:0010906 0.000154661209278335
GO:0072523 0.000156882250066066
GO:0046209 0.000157023867159771
GO:0019318 0.000158323453793838
GO:1905314 0.000164543734826066
GO:0001894 0.000167504319610486
GO:0060249 0.000167504319610486
GO:0010631 0.000169846980882098
GO:0007178 0.00017067502886622
GO:0061615 0.000172093155417405
